timestamp,center_pupil_x,center_pupil_y,tipo_pupila,target_idx,target_x,target_y
1759271121.3856258,518.00,165.00,escura,0,320.00,180.00
1759271121.4131641,529.00,99.00,escura,0,320.00,180.00
1759271121.4254234,528.00,97.00,escura,0,320.00,180.00
1759271121.45207,519.00,161.00,escura,0,320.00,180.00
1759271121.4678485,518.00,164.00,escura,0,320.00,180.00
1759271121.4864912,518.00,165.00,escura,0,320.00,180.00
1759271121.5197353,530.00,101.00,escura,0,320.00,180.00
1759271121.5471835,520.00,162.00,escura,0,320.00,180.00
1759271121.567284,529.00,99.00,escura,0,320.00,180.00
1759271121.5964704,519.00,165.00,escura,0,320.00,180.00
1759271121.6110604,516.00,167.00,escura,0,320.00,180.00
1759271121.6279268,519.00,165.00,escura,0,320.00,180.00
1759271121.6523569,529.00,96.00,escura,0,320.00,180.00
1759271121.6727126,530.00,90.00,escura,1,960.00,180.00
1759271121.6931841,516.00,168.00,escura,1,960.00,180.00
1759271121.7173367,532.00,105.00,escura,1,960.00,180.00
1759271121.7357287,519.00,164.00,escura,1,960.00,180.00
