timestamp,center_pupil_x,center_pupil_y,tipo_pupila,target_idx,target_x,target_y
1759271119.677032,539.00,107.00,escura,0,320.00,180.00
1759271119.6947858,520.00,165.00,escura,0,320.00,180.00
1759271119.7103636,540.00,111.00,escura,0,320.00,180.00
1759271119.7260058,519.00,167.00,escura,0,320.00,180.00
1759271119.7475197,539.00,105.00,escura,0,320.00,180.00
1759271119.7829585,520.00,168.00,escura,0,320.00,180.00
1759271119.8051207,538.00,106.00,escura,0,320.00,180.00
1759271119.8271394,518.00,167.00,escura,0,320.00,180.00
1759271119.849071,539.00,105.00,escura,0,320.00,180.00
1759271119.8628535,520.00,164.00,escura,0,320.00,180.00
1759271119.8891397,539.00,102.00,escura,0,320.00,180.00
1759271119.9133897,523.00,163.00,escura,0,320.00,180.00
1759271119.9283116,524.00,164.00,escura,0,320.00,180.00
1759271119.9433372,537.00,103.00,escura,0,320.00,180.00
1759271119.9626904,521.00,164.00,escura,0,320.00,180.00
1759271119.986887,529.00,159.00,escura,0,320.00,180.00
1759271120.0018737,538.00,101.00,escura,0,320.00,180.00
1759271120.0274405,523.00,165.00,escura,0,320.00,180.00
1759271120.0505946,536.00,97.00,escura,0,320.00,180.00
1759271120.075455,522.00,165.00,escura,0,320.00,180.00
1759271120.0984883,537.00,102.00,escura,0,320.00,180.00
1759271120.1169083,525.00,161.00,escura,0,320.00,180.00
1759271120.1530974,521.00,164.00,escura,0,320.00,180.00
1759271120.1741931,537.00,100.00,escura,0,320.00,180.00
1759271120.2011282,536.00,100.00,escura,0,320.00,180.00
1759271120.2241623,522.00,163.00,escura,0,320.00,180.00
1759271120.2422342,527.00,155.00,escura,0,320.00,180.00
1759271120.2601945,536.00,101.00,escura,0,320.00,180.00
1759271120.290312,536.00,96.00,escura,0,320.00,180.00
1759271120.3130908,520.00,164.00,escura,0,320.00,180.00
1759271120.3318415,536.00,93.00,escura,0,320.00,180.00
1759271120.355112,522.00,164.00,escura,0,320.00,180.00
1759271120.3810754,524.00,164.00,escura,0,320.00,180.00
1759271120.4050772,525.00,162.00,escura,0,320.00,180.00
1759271120.4265485,537.00,89.00,escura,0,320.00,180.00
1759271120.4527795,521.00,166.00,escura,0,320.00,180.00
1759271120.4728458,523.00,163.00,escura,0,320.00,180.00
1759271120.4970825,535.00,99.00,escura,0,320.00,180.00
1759271120.5210624,525.00,162.00,escura,0,320.00,180.00
1759271120.5364368,522.00,164.00,escura,0,320.00,180.00
1759271120.5613258,535.00,100.00,escura,0,320.00,180.00
1759271120.5822268,535.00,102.00,escura,0,320.00,180.00
1759271120.602561,513.00,171.00,escura,0,320.00,180.00
1759271120.620136,536.00,106.00,escura,0,320.00,180.00
1759271120.6462429,535.00,106.00,escura,0,320.00,180.00
1759271120.6677508,518.00,168.00,escura,0,320.00,180.00
1759271120.693081,535.00,106.00,escura,0,320.00,180.00
1759271120.7170975,517.00,168.00,escura,0,320.00,180.00
1759271120.7329926,519.00,168.00,escura,0,320.00,180.00
1759271120.761079,534.00,108.00,escura,0,320.00,180.00
1759271120.785293,514.00,170.00,escura,0,320.00,180.00
1759271120.8007536,522.00,161.00,escura,0,320.00,180.00
1759271120.8290818,532.00,104.00,escura,0,320.00,180.00
1759271120.8574586,531.00,106.00,escura,0,320.00,180.00
1759271120.8843799,517.00,167.00,escura,0,320.00,180.00
1759271120.9091432,531.00,102.00,escura,0,320.00,180.00
1759271120.9250638,532.00,108.00,escura,0,320.00,180.00
1759271120.9611397,518.00,166.00,escura,0,320.00,180.00
1759271120.9801445,514.00,171.00,escura,0,320.00,180.00
1759271120.9928799,531.00,107.00,escura,0,320.00,180.00
1759271121.017139,516.00,167.00,escura,0,320.00,180.00
1759271121.0363097,530.00,100.00,escura,0,320.00,180.00
1759271121.055873,517.00,164.00,escura,0,320.00,180.00
1759271121.072126,529.00,99.00,escura,0,320.00,180.00
1759271121.0971425,514.00,166.00,escura,0,320.00,180.00
1759271121.123235,527.00,92.00,escura,0,320.00,180.00
1759271121.1454208,517.00,164.00,escura,0,320.00,180.00
1759271121.1741297,528.00,97.00,escura,0,320.00,180.00
1759271121.1970587,526.00,94.00,escura,0,320.00,180.00
1759271121.2178786,515.00,167.00,escura,0,320.00,180.00
1759271121.238156,516.00,166.00,escura,0,320.00,180.00
1759271121.2650738,527.00,98.00,escura,0,320.00,180.00
1759271121.289077,526.00,95.00,escura,0,320.00,180.00
1759271121.3054857,515.00,164.00,escura,0,320.00,180.00
1759271121.3326612,528.00,98.00,escura,0,320.00,180.00
1759271121.3574057,528.00,98.00,escura,0,320.00,180.00
