{'timestamp': 1759195101.7897887, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195101.877755, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195101.969888, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195102.0618546, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195102.1498427, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195102.241768, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195102.333812, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195102.4219058, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195102.5139556, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195102.6061008, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195102.6938257, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195102.785831, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195102.877819, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195102.9697132, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195103.0578032, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195103.1498172, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195103.241836, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195103.3298085, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195103.4218693, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195103.513767, 'alvo_idx': 3, 'alvo_coords': (320.0, 540.0)}
{'timestamp': 1759195103.601826, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195103.6937826, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195103.7859092, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195103.873819, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195103.9658508, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195104.0577445, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195104.1498122, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195104.2378592, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195104.3297913, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195104.421937, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195104.509844, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195104.6018107, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195104.6938975, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195104.7819128, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195104.8739274, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195104.965864, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195105.053852, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195105.145854, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195105.2378845, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195105.3258836, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195105.4178872, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195105.5098684, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195105.6018267, 'alvo_idx': 4, 'alvo_coords': (960.0, 540.0)}
{'timestamp': 1759195105.689906, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195105.7818978, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195105.873833, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195105.9618788, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195106.0538857, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195106.1461387, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195106.233855, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195106.325839, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195106.4178483, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195106.5058787, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195106.598078, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195106.6901214, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195106.7818747, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195106.869904, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195106.961834, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195107.0538678, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195107.1419017, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195107.2340488, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195107.3260245, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195107.4138646, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195107.5058904, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195107.5979028, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195107.6858795, 'alvo_idx': 5, 'alvo_coords': (1600.0, 540.0)}
{'timestamp': 1759195107.7778988, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195107.8698695, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195107.9617999, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195108.0498316, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195108.14189, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195108.2338636, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195108.3218646, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195108.4139104, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195108.5059857, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195108.5938704, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195108.6859398, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195108.777925, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195108.8658562, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195108.9579706, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195109.0498676, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195109.1418192, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195109.2299662, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195109.3218837, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195109.4139583, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195109.5019684, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195109.5939047, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195109.6858468, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195109.7739446, 'alvo_idx': 6, 'alvo_coords': (320.0, 900.0)}
{'timestamp': 1759195109.865886, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195109.9579062, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195110.0459197, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195110.13793, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195110.2299118, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195110.3178625, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195110.4099236, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195110.501865, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195110.594011, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195110.68194, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195110.7739193, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195110.865884, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195110.953918, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195111.045893, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195111.13784, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195111.225953, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195111.3178215, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195111.4099154, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195111.49789, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195111.590007, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195111.6819305, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195111.7739153, 'alvo_idx': 7, 'alvo_coords': (960.0, 900.0)}
{'timestamp': 1759195111.8619251, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195111.9539537, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195112.0458848, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195112.1341171, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195112.2259278, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195112.3179498, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195112.4058871, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195112.497919, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195112.589892, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195112.6779542, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195112.7699146, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195112.8620765, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195112.9539487, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195113.0419095, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195113.1339173, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195113.225943, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195113.3140202, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195113.4059927, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195113.4979494, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195113.58595, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195113.6779492, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195113.7699397, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
{'timestamp': 1759195113.857901, 'alvo_idx': 8, 'alvo_coords': (1600.0, 900.0)}
