{'timestamp': 1759261991.6890736, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.708445, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.7218425, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.7490916, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.7660732, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.7814782, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.794678, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.817633, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.8416467, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.8516576, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.8799736, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.9071794, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.9247072, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.9490895, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.969086, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.9829047, 'alvo_idx': 0, 'alvo_coords': (320.0, 180.0)}
{'timestamp': 1759261991.992848, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.0116506, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.0348947, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.0491304, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.0594308, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.0784442, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.1006994, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
